,City,Country,Latitude,Longitude,Current Temperature,Humidity,Cloudiness,Wind Speed,Date
305,Ning’an,CN,44.14,128.97,44.7,59,0,1.45,2020-10-26 00:56:23
306,Parkkino,RU,69.56,31.19,30.2,86,90,9.8,2020-10-26 00:56:23
307,Jinniu,CN,26.11,100.82,50.3,100,94,1.01,2020-10-26 00:56:24
308,San Juan,MX,27.63,-99.91,88.7,52,5,5.7,2020-10-26 00:56:25
309,Berdigestyakh,RU,61.48,125.89,21.9,92,100,3.95,2020-10-26 00:56:26
310,Qümong,CN,32.68,98.05,29.3,99,99,3.63,2020-10-26 00:56:31
311,Vao,NC,-23.91,167.55,72.8,81,0,6.58,2020-10-26 00:56:32
312,Zhoujiajing,CN,39.72,102.84,36.7,57,73,1.73,2020-10-26 00:56:32
313,Arviat,CA,61.93,-94.7,7.2,95,21,3.09,2020-10-26 00:56:33
314,Jordan,US,47.17,-106.7,15.8,56,0,3.1,2020-10-26 00:56:34
315,La Victoria,EC,-1.09,-75.89,79.2,72,17,0.45,2020-10-26 00:56:34
316,Borkou Region,TD,17.59,17.28,72.5,26,5,5.53,2020-10-26 00:56:35
317,Arapahoe,US,39.66,-104.48,8.5,87,100,3.58,2020-10-26 00:56:35
318,Vilhelmina,SE,64.47,16.64,39.2,80,69,3.1,2020-10-26 00:56:36
319,Vanavara,RU,60.76,103.69,19.8,97,66,1.83,2020-10-26 00:56:36
320,Inukjuak,CA,58.64,-78.05,28.4,86,75,8.7,2020-10-26 00:56:37
321,São Vicente do Sul,BR,-29.66,-54.61,73.7,80,36,3.5,2020-10-26 00:56:37
322,Cape Parry,CA,70.36,-127.92,19.8,96,99,7.09,2020-10-26 00:56:37
323,Tsiigehtchic,CA,66.98,-131.96,17.0,97,95,4.61,2020-10-26 00:56:38
324,Leningradskiy,RU,68.86,176.24,17.2,94,99,0.35,2020-10-26 00:56:38
325,Bordj Omar Driss,DZ,27.74,5.64,69.5,43,0,4.95,2020-10-26 00:56:39
326,Esfarāyen,IR,37.04,57.32,39.2,44,0,1.0,2020-10-26 00:56:39
327,Ennadai,CA,60.63,-100.69,5.9,95,42,3.04,2020-10-26 00:56:40
328,Urubichá,BO,-14.43,-62.71,82.1,68,100,1.02,2020-10-26 00:56:40
329,Ostrovnoy,RU,69.05,39.72,36.3,80,100,6.77,2020-10-26 00:56:40
330,Ouakam,SN,14.11,-18.58,82.3,80,0,3.76,2020-10-26 00:56:41
331,Ngidihopitonu,ID,2.27,126.71,83.2,75,91,4.17,2020-10-26 00:56:42
332,Sintang,ID,-0.39,111.45,79.7,82,100,0.89,2020-10-26 00:56:42
333,Schefferville,CA,56.09,-66.61,17.8,98,93,4.72,2020-10-26 00:56:43
334,San Ramón,BO,-13.41,-65.12,82.9,68,92,2.28,2020-10-26 00:56:43
335,Frontera,ES,26.77,-19.02,71.2,79,0,9.29,2020-10-26 00:56:45
336,Gooty,IN,15.03,77.81,74.8,78,47,0.5,2020-10-26 00:56:45
337,Guelmim-Es Semara,MA,28.22,-9.01,67.4,27,0,4.3,2020-10-26 00:56:46
338,Hadjer-Lamis Region,TD,12.99,16.29,82.4,16,87,5.55,2020-10-26 00:56:46
339,Noyabrsk,RU,63.63,75.61,19.9,97,95,5.84,2020-10-26 00:56:47
340,Beba Veche,RO,46.13,20.38,53.9,100,40,2.6,2020-10-26 00:56:47
341,Sharm el Sheikh,EG,27.19,34.74,82.2,66,0,8.36,2020-10-26 00:56:47
342,Tanah Merah,ID,-7.21,139.63,89.7,58,70,1.58,2020-10-26 00:56:47
343,Shouchun,CN,32.31,116.81,59.9,77,100,1.87,2020-10-26 00:56:48
344,Ravensthorpe,AU,-33.09,120.57,72.0,27,0,8.05,2020-10-26 00:56:49
345,Port-Gentil,GA,-0.46,8.52,79.0,83,100,6.27,2020-10-26 00:56:50
346,Saint Mary's County,US,38.33,-76.63,52.0,93,90,2.1,2020-10-26 00:56:51
347,Wiang Sa,TH,8.65,99.49,80.3,94,20,0.85,2020-10-26 00:56:51
348,Yovon,TJ,38.42,69.11,41.0,75,0,2.48,2020-10-26 00:56:51
349,Wiluna,AU,-26.42,120.75,79.9,17,0,9.04,2020-10-26 00:56:52
350,Al Khasamah,YE,15.33,44.13,47.3,41,0,1.78,2020-10-26 00:56:52
351,Bukomansimbi,UG,-0.16,31.52,65.7,89,100,2.16,2020-10-26 00:56:53
352,Kolbasa,RU,57.21,76.66,33.8,98,100,1.76,2020-10-26 00:56:53
353,Primorskiy (Maritime) Kray,RU,45.09,134.35,42.1,71,0,1.32,2020-10-26 00:56:53
354,Russia,RU,59.54,101.26,21.8,97,57,1.12,2020-10-26 00:56:54
355,Fujishiro,JP,35.91,140.13,62.7,59,75,2.6,2020-10-26 00:56:54
356,Tacuarembó,UY,-31.76,-56.18,71.0,84,4,1.91,2020-10-26 00:56:56
357,Springhill,US,33.14,-93.53,55.0,91,100,1.62,2020-10-26 00:56:56
358,Alamar,CU,23.87,-82.24,82.4,80,100,6.63,2020-10-26 00:56:56
359,Jervis Bay Territory,AU,-35.52,151.01,57.0,85,100,12.07,2020-10-26 00:56:57
360,Yermentau,KZ,51.39,73.1,41.3,69,100,10.05,2020-10-26 00:56:57
361,Ayan,RU,57.25,136.86,16.8,93,0,1.16,2020-10-26 00:56:58
362,Qasigiannguit,GL,68.12,-49.97,3.9,88,100,0.44,2020-10-26 00:56:58
363,Hafar Al-Batin,SA,28.77,45.68,66.2,39,0,2.6,2020-10-26 00:56:58
364,Norfolk Island,NF,-28.51,168.84,68.9,80,1,4.7,2020-10-26 00:56:58
365,Harian,ID,2.47,98.75,62.2,92,100,1.37,2020-10-26 00:56:59
366,Evensk,RU,61.89,157.83,31.5,93,100,2.59,2020-10-26 00:57:01
367,Bouza,NE,14.38,6.24,81.2,16,1,3.42,2020-10-26 00:57:01
368,Perryton,US,36.37,-100.7,30.2,92,90,7.7,2020-10-26 00:57:02
369,Al Madīnah al Munawwarah,SA,25.79,39.66,69.9,20,0,5.26,2020-10-26 00:57:03
370,Demerval Lobão,BR,-5.23,-42.75,87.8,58,0,1.0,2020-10-26 00:57:03
371,Bor,RU,62.46,91.8,13.6,97,98,1.32,2020-10-26 00:57:03
372,Igloolik,CA,69.41,-79.14,15.8,92,90,8.2,2020-10-26 00:57:03
373,Kimberly,US,44.27,-88.36,31.3,100,90,2.6,2020-10-26 00:57:04
374,Angelina,US,31.19,-94.45,62.8,85,100,0.89,2020-10-26 00:57:04
375,Adamantina,BR,-21.64,-51.1,78.4,66,60,2.16,2020-10-26 00:57:04
376,Keremeos,CA,48.9,-120.1,27.8,63,1,1.5,2020-10-26 00:57:05
377,Umba,RU,66.82,36.38,18.8,96,100,3.59,2020-10-26 00:57:05
378,Whittier,US,60.69,-148.46,37.0,91,100,0.89,2020-10-26 00:57:06
379,Kimmirut,CA,62.9,-69.61,15.8,98,100,1.63,2020-10-26 00:57:06
380,Maple Creek,CA,49.73,-109.66,6.5,88,0,4.96,2020-10-26 00:57:06
381,Kerema,PG,-8.07,144.76,80.7,83,64,1.38,2020-10-26 00:57:08
382,Easton,GB,50.28,-2.33,48.6,77,0,5.81,2020-10-26 00:57:09
383,Entuziastov,RU,71.63,137.51,14.4,95,100,10.32,2020-10-26 00:57:09
384,Orda,KZ,48.14,48.25,45.8,76,0,4.74,2020-10-26 00:57:10
385,Darovskoy,RU,58.65,48.01,30.5,98,96,3.11,2020-10-26 00:57:11
386,Verona,US,42.97,-89.6,32.1,86,90,2.1,2020-10-26 00:57:12
387,Gari,RU,59.03,62.91,26.1,98,100,1.36,2020-10-26 00:57:12
388,Haapiti,PF,-18.08,-151.16,77.2,81,40,7.06,2020-10-26 00:57:12
389,Altai Krai,RU,52.41,83.04,36.9,80,100,10.27,2020-10-26 00:57:13
390,Chanat-la-Mouteyre,FR,45.84,3.02,48.2,87,100,5.7,2020-10-26 00:57:14
391,Bermejo,BO,-22.64,-64.96,60.7,78,16,0.95,2020-10-26 00:57:14
392,South Padre Island,US,25.69,-96.1,79.4,79,0,7.43,2020-10-26 00:57:15
393,Bandundu Province,CD,-3.13,17.63,71.5,96,65,0.88,2020-10-26 00:57:15
394,Linville,AU,-26.82,152.22,77.2,57,40,3.1,2020-10-26 00:57:15
395,Beruri,BR,-3.73,-60.94,77.8,79,3,0.72,2020-10-26 00:57:16
396,South Sinai,EG,29.61,34.05,56.9,92,0,0.88,2020-10-26 00:57:18
397,Matawak,CA,54.49,-92.94,22.3,97,100,2.76,2020-10-26 00:57:18
398,Young,AU,-34.32,148.37,57.3,68,95,11.02,2020-10-26 00:57:19
399,Kargasok,RU,58.76,80.06,26.9,99,100,2.9,2020-10-26 00:57:19
400,Ventspils,LV,57.56,20.86,50.0,100,0,3.6,2020-10-26 00:57:20
401,Karasburg,NA,-28.18,19.65,65.7,30,77,1.23,2020-10-26 00:57:20
402,Boisdale,CA,45.94,-60.38,39.3,63,11,1.34,2020-10-26 00:57:21
403,Balzar,EC,-1.22,-79.88,81.3,62,100,2.72,2020-10-26 00:57:21
404,Paraiso,MX,19.26,-93.63,82.0,73,25,3.3,2020-10-26 00:57:21
405,Pak Chong,TH,14.97,101.43,73.6,76,91,1.57,2020-10-26 00:57:23
406,Quorn,AU,-31.71,137.48,58.6,38,41,5.75,2020-10-26 00:57:23
407,Ciudad Insurgentes,MX,25.17,-112.96,72.6,83,0,9.83,2020-10-26 00:57:23
408,Bizerte,TN,37.53,9.99,53.6,87,20,4.99,2020-10-26 00:57:24
409,Aktobe,KZ,43.58,70.39,43.6,58,90,3.34,2020-10-26 00:57:24
410,Ivashka,RU,58.83,161.95,33.6,95,100,2.04,2020-10-26 00:57:25
411,Magistral'nyy,RU,55.87,107.5,23.0,91,83,4.54,2020-10-26 00:57:25
412,Ban Nong Rang,TH,15.49,102.07,69.8,100,75,4.1,2020-10-26 00:57:26
413,Safakulevo,RU,55.08,62.35,37.4,100,90,1.0,2020-10-26 00:57:26
414,Cusuna,HN,15.55,-85.0,74.0,91,100,1.29,2020-10-26 00:57:26
415,Nishinoomote,JP,31.0,131.04,68.0,60,20,1.5,2020-10-26 00:57:26
416,Neryungri,RU,56.3,123.74,30.3,91,100,1.52,2020-10-26 00:57:29
417,Dudinka,RU,69.21,83.14,6.4,95,85,2.36,2020-10-26 00:57:30
418,Southern Province,LK,6.25,80.51,73.4,100,20,0.5,2020-10-26 00:57:30
419,Edéia,BR,-17.27,-49.75,74.0,80,100,2.56,2020-10-26 00:57:31
420,Weewanie,CA,53.21,-128.42,23.3,89,100,1.9,2020-10-26 00:57:32
421,Barkerville,CA,53.32,-121.82,24.8,68,90,3.6,2020-10-26 00:57:32
422,Ilulissat,GL,69.56,-49.62,15.8,52,100,0.5,2020-10-26 00:57:32
423,Buyant,MN,45.87,98.92,26.7,69,0,2.08,2020-10-26 00:57:33
424,Vallenar,CL,-29.05,-70.67,42.7,58,0,1.23,2020-10-26 00:57:34
425,Rockley,BB,12.25,-60.03,82.6,79,0,8.11,2020-10-26 00:57:34
426,Villa Emilio Carranza,MX,20.15,-96.23,81.5,73,0,4.19,2020-10-26 00:57:34
427,Kasaï-Oriental Province,CD,-4.36,24.11,69.6,98,100,1.06,2020-10-26 00:57:35
428,Salym,RU,59.09,73.04,28.7,99,100,2.78,2020-10-26 00:57:35
429,San Pedro de Atacama,CL,-23.13,-67.73,30.6,72,4,1.57,2020-10-26 00:57:36
430,Lago da Pedra,BR,-4.73,-46.09,72.6,95,100,0.72,2020-10-26 00:57:36
431,Steinhatchee,US,29.8,-83.34,75.1,83,1,2.6,2020-10-26 00:57:38
432,Van Province,TR,38.59,43.47,41.0,60,75,1.0,2020-10-26 00:57:38
433,Vysokogornyy,RU,50.44,139.98,37.5,77,99,4.7,2020-10-26 00:57:38
434,Pond Inlet,CA,72.43,-76.15,15.8,100,90,4.6,2020-10-26 00:57:39
435,Hailin,CN,44.5,128.9,45.5,57,0,0.39,2020-10-26 00:57:40
436,Tokār,SD,17.84,38.94,87.5,69,0,7.53,2020-10-26 00:57:40
437,Viglino,RU,58.47,35.08,39.1,94,91,1.02,2020-10-26 00:57:41
438,Mai-ti,ER,12.91,42.04,74.9,53,21,5.34,2020-10-26 00:57:42
439,Shiwnah Takhak,AF,34.07,67.15,26.5,78,0,0.62,2020-10-26 00:57:42
440,Alberta,CA,52.02,-116.71,12.7,86,100,2.96,2020-10-26 00:57:43
441,Tucuruí,BR,-4.03,-48.62,73.4,96,93,1.16,2020-10-26 00:57:43
442,Nāṟay,AF,35.32,71.67,26.7,85,0,2.76,2020-10-26 00:57:43
443,Namoluk Municipality,FM,5.99,152.1,84.3,73,100,3.78,2020-10-26 00:57:44
444,Seratak,ID,-4.69,115.99,83.7,76,100,4.45,2020-10-26 00:57:45
445,Stoneville,AU,-31.13,122.16,70.2,29,0,9.27,2020-10-26 00:57:45
446,Ranai,ID,2.73,107.98,83.6,74,100,3.65,2020-10-26 00:57:45
447,Sachs Harbour,CA,71.82,-126.64,19.6,95,100,10.02,2020-10-26 00:57:47
448,Carauari,BR,-4.7,-66.91,73.7,93,84,0.31,2020-10-26 00:57:49
449,Turpan,CN,43.21,89.54,34.9,71,97,0.24,2020-10-26 00:57:49
450,Dikson,RU,74.51,82.36,27.0,92,100,4.58,2020-10-26 00:57:49
451,Municipio Maracaibo,VE,10.62,-72.48,74.2,88,33,1.14,2020-10-26 00:57:50
452,Lagoa Vermelha,BR,-28.01,-51.48,65.3,81,99,6.25,2020-10-26 00:57:51
453,Misratah,LY,33.29,15.27,71.8,59,100,2.58,2020-10-26 00:57:52
454,Rioblanco,CO,3.5,-75.89,77.0,65,75,4.6,2020-10-26 00:57:52
455,Neiafu,TO,-19.07,-173.11,76.1,83,60,8.62,2020-10-26 00:57:54
456,Channel Islands Beach,US,34.01,-119.39,63.9,68,90,6.7,2020-10-26 00:57:55
457,Mergen,CN,49.39,126.09,40.3,69,100,1.88,2020-10-26 00:57:55
458,Praia,CV,14.85,-23.54,80.6,74,0,7.7,2020-10-26 00:57:56
459,Dzüünbulag,MN,46.54,115.2,38.1,73,0,8.99,2020-10-26 00:57:56
460,Cafayate,AR,-25.85,-65.59,59.3,80,0,3.57,2020-10-26 00:57:58
461,Kaktovik,US,69.94,-144.69,15.8,92,90,1.5,2020-10-26 00:57:59
462,Ryōtsu-minato,JP,38.71,138.8,59.4,59,100,6.91,2020-10-26 00:57:59
463,Rundu,NA,-17.39,20.73,70.6,29,5,2.05,2020-10-26 00:57:59
464,Svetlogorsk,RU,66.73,90.32,-6.4,93,9,1.32,2020-10-26 00:57:59
465,Vitry-aux-Loges,FR,47.94,2.22,50.1,93,75,6.2,2020-10-26 00:58:00
466,Yurgamysh,RU,55.14,64.56,41.0,92,100,2.76,2020-10-26 00:58:00
467,Cass,US,46.94,-97.12,23.9,73,23,3.6,2020-10-26 00:58:01
468,Yugorsk,RU,61.29,63.13,25.6,98,100,2.23,2020-10-26 00:58:01
469,Port Saint Joe,US,28.98,-85.7,77.2,79,0,4.76,2020-10-26 00:58:02
470,Paind do Araguaia,BR,-10.32,-51.01,75.5,66,84,1.14,2020-10-26 00:58:02
471,Pedraza La Vieja,VE,7.7,-70.86,74.7,94,22,0.94,2020-10-26 00:58:02
472,Bagudo,NG,11.33,4.23,77.0,35,0,0.98,2020-10-26 00:58:03
473,Ust-Kuyga,RU,69.52,133.41,9.6,85,49,4.5,2020-10-26 00:58:04
474,Assamakka,NE,19.12,6.25,76.3,17,0,5.09,2020-10-26 00:58:04
475,Alta Floresta,BR,-10.95,-56.07,76.5,75,100,0.76,2020-10-26 00:58:05
476,Haveluloto,TO,-20.78,-175.97,75.3,81,62,10.71,2020-10-26 00:58:05
477,Kontcha,CM,8.06,12.76,73.5,60,46,1.32,2020-10-26 00:58:06
478,Valuyki,RU,50.15,38.24,44.1,86,100,0.9,2020-10-26 00:58:07
479,Nosara,CR,9.95,-85.78,79.6,83,100,2.77,2020-10-26 00:58:07
480,Huimilpan,MX,20.33,-100.37,77.0,17,40,5.7,2020-10-26 00:58:08
481,Hassi Messaoud,DZ,31.55,7.58,69.3,31,0,2.53,2020-10-26 00:58:11
482,Shumanay Shahri,UZ,42.13,57.88,52.8,45,2,3.72,2020-10-26 00:58:11
483,Kerema,PG,-8.74,145.41,81.5,81,42,3.4,2020-10-26 00:58:11
484,Hollum,NL,54.3,5.4,53.6,81,70,10.8,2020-10-26 00:58:11
485,Resolute,CA,73.92,-92.73,9.2,94,100,1.77,2020-10-26 00:58:12
486,Eucla,AU,-30.87,129.38,63.6,40,0,6.03,2020-10-26 00:58:13
487,Brusenets,RU,60.26,43.9,27.6,97,21,2.54,2020-10-26 00:58:13
488,North Khorasan,IR,36.84,56.58,48.8,51,0,0.47,2020-10-26 00:58:13
489,Kalumpang,ID,-2.18,119.7,69.9,71,69,0.54,2020-10-26 00:58:14
490,Krasnosel'kup,RU,64.43,82.92,8.6,95,63,3.43,2020-10-26 00:58:16
491,Kāzerūn,IR,29.24,51.88,57.3,55,0,0.39,2020-10-26 00:58:17
492,Bambamarca,PE,-6.51,-78.29,54.8,94,97,1.43,2020-10-26 00:58:18
493,Apastovsky District,RU,55.47,48.66,32.0,97,0,4.0,2020-10-26 00:58:20
494,San Quintín,MX,30.53,-115.82,64.1,69,78,6.45,2020-10-26 00:58:21
495,Utsira,NO,59.47,2.8,51.8,76,94,15.9,2020-10-26 00:58:22
496,Buluang,PH,12.57,120.09,80.0,94,100,19.11,2020-10-26 00:58:22
497,Kamsar,GN,9.66,-15.34,80.9,85,0,5.41,2020-10-26 00:58:23
498,Thoen,TH,17.51,99.23,73.4,94,20,1.0,2020-10-26 00:58:23
499,Arzak,CN,40.01,75.39,21.3,93,2,1.32,2020-10-26 00:58:24
500,Long Spruce,CA,56.8,-92.94,17.6,95,78,3.12,2020-10-26 00:58:25
501,North Slope,US,69.46,-151.05,11.9,96,0,3.98,2020-10-26 00:58:25
502,Kosh-Agach,RU,49.95,88.61,17.6,70,59,0.6,2020-10-26 00:58:26
503,Bissett,CA,50.81,-95.24,22.8,94,70,2.93,2020-10-26 00:58:26
504,Itzer,MA,32.94,-4.86,50.9,46,0,3.32,2020-10-26 00:58:27
505,Ash Shatt,YE,12.62,43.73,82.0,55,34,8.03,2020-10-26 00:58:28
506,Jingpeng,CN,42.95,117.14,44.6,53,96,7.39,2020-10-26 00:58:28
507,Puerto Rondón,CO,6.37,-70.81,77.0,85,6,2.05,2020-10-26 00:58:28
508,Kinosis,CA,56.2,-111.99,30.2,36,1,5.1,2020-10-26 00:58:31
509,Huanan,CN,46.52,130.48,42.5,65,0,2.27,2020-10-26 00:58:31
510,Victoria Daly,AU,-16.85,131.77,89.5,47,66,5.58,2020-10-26 00:58:31
511,Dū Qal‘ah,AF,32.46,60.57,42.4,58,0,2.34,2020-10-26 00:58:31
512,Akutan,US,55.4,-166.48,45.4,85,90,7.8,2020-10-26 00:58:32
513,Moomba,AU,-14.35,142.19,101.0,34,5,0.35,2020-10-26 00:58:32
514,Onoun,FM,8.72,149.73,84.2,68,1,2.84,2020-10-26 00:58:33
515,Rowan Bay,US,56.83,-134.23,35.6,93,90,3.6,2020-10-26 00:58:33
516,Bongak,SS,7.27,33.21,75.2,82,97,0.99,2020-10-26 00:58:33
517,Krasavino,RU,60.92,46.73,27.3,96,100,3.07,2020-10-26 00:58:34
518,Port au Choix,CA,50.91,-57.78,37.5,74,33,12.9,2020-10-26 00:58:35
519,Mato Grosso,BR,-12.47,-56.2,74.4,73,67,0.59,2020-10-26 00:58:36
520,Cherskiy,RU,68.42,159.0,16.6,96,100,1.87,2020-10-26 00:58:36
521,West Coast,AU,-43.42,144.75,49.4,71,0,7.36,2020-10-26 00:58:37
522,Kangaamiut,GL,66.12,-51.98,1.2,88,100,3.76,2020-10-26 00:58:37
523,Ittoqqortoormiit,GL,69.99,-20.35,21.4,97,100,8.45,2020-10-26 00:58:38
524,Australia,AU,-26.07,134.67,67.9,25,0,4.09,2020-10-26 00:58:38
525,Chhātāpur,IN,26.26,86.87,72.8,94,26,1.33,2020-10-26 00:58:39
526,South Caribbean Coast Autonomous Region,NI,12.52,-84.62,74.3,92,95,2.61,2020-10-26 00:58:41
527,Sali,HR,43.73,14.78,51.8,100,20,1.5,2020-10-26 00:58:41
528,Nusa Dua,ID,-9.26,123.53,82.3,81,100,4.6,2020-10-26 00:58:42
529,Southport,US,32.85,-77.19,77.5,74,0,0.34,2020-10-26 00:58:42
530,Lappajärvi,FI,63.14,23.54,46.2,98,100,5.47,2020-10-26 00:58:42
531,Burwood,NZ,-43.55,172.72,54.4,81,100,6.2,2020-10-26 00:58:43
532,Mitata,GR,36.39,23.22,69.8,65,0,5.22,2020-10-26 00:58:43
533,Tazovsky,RU,67.48,80.14,3.4,94,0,3.34,2020-10-26 00:58:44
534,Saranpaul',RU,64.46,60.26,15.6,98,100,1.4,2020-10-26 00:58:44
535,Kununurra,AU,-16.49,128.45,89.6,52,100,2.1,2020-10-26 00:58:44
536,Bougainville,PG,-4.94,154.34,83.9,73,35,5.4,2020-10-26 00:58:45
537,Siete Palmas,AR,-25.14,-58.46,87.0,43,0,3.02,2020-10-26 00:58:45
538,Marjah,AF,31.58,63.99,47.0,45,0,1.48,2020-10-26 00:58:46
539,Autauga,US,32.6,-86.73,67.9,94,90,1.42,2020-10-26 00:58:46
540,Novo Aripuanã,BR,-5.67,-60.12,75.0,90,10,1.46,2020-10-26 00:58:46
541,Los Lagos Region,CL,-41.98,-72.39,28.2,100,100,0.79,2020-10-26 00:58:47
542,Uzynkair,KZ,44.37,61.2,51.7,46,100,7.63,2020-10-26 00:58:47
543,Solnechnyy,RU,59.57,136.81,11.7,89,44,0.54,2020-10-26 00:58:48
544,Olonkinbyen,SJ,71.16,-4.86,38.7,81,100,13.11,2020-10-26 00:58:48
545,Huon Valley,AU,-43.24,146.16,55.0,65,0,2.24,2020-10-26 00:58:49
546,Chanika,TZ,-5.72,38.23,67.0,98,64,0.42,2020-10-26 00:58:49
547,Dease Lake,CA,58.79,-129.45,21.2,92,90,1.0,2020-10-26 00:58:50
548,Sangkulirang,ID,0.46,118.1,80.3,81,100,3.18,2020-10-26 00:58:51
549,Cedrillas,ES,40.4,-0.9,50.0,76,90,3.6,2020-10-26 00:58:52
550,Kargasok,RU,59.34,80.66,26.3,98,100,5.26,2020-10-26 00:58:52
551,Ukungu,CD,-2.84,24.13,68.8,98,100,0.91,2020-10-26 00:58:53
552,Sudan,SD,16.45,29.21,73.0,29,0,6.65,2020-10-26 00:58:53
553,Buntharik,TH,14.58,105.53,69.8,94,40,1.0,2020-10-26 00:58:54
554,Duokake,CN,36.38,93.35,24.7,68,0,0.24,2020-10-26 00:58:54
555,San Juan Province,AR,-30.79,-69.22,44.8,55,0,5.24,2020-10-26 00:58:55
556,Frankfort,US,44.9,-86.59,34.1,86,90,1.81,2020-10-26 00:58:55
557,Entuziastov,RU,71.66,135.39,16.2,96,100,10.96,2020-10-26 00:58:55
558,Kalāteh-ye Dowlat,IR,35.41,56.57,48.4,57,0,0.92,2020-10-26 00:58:56
559,Saule,KZ,49.39,52.27,51.0,69,96,11.89,2020-10-26 00:58:58
560,Oxelösund,SE,58.49,17.71,51.8,100,75,4.1,2020-10-26 00:58:58
561,Melangguane,ID,3.9,126.22,83.4,75,99,4.33,2020-10-26 00:58:59
562,Uummannaq,GL,70.63,-50.19,6.5,83,100,3.34,2020-10-26 00:59:00
563,Stornoway,GB,58.3,-6.65,49.4,87,38,7.7,2020-10-26 00:59:03
564,Byumba Ville,RW,-1.47,30.01,64.2,88,75,1.5,2020-10-26 00:59:03
565,Khapalu,PK,35.64,76.29,-18.6,100,17,1.59,2020-10-26 00:59:03
566,Laverton,AU,-28.29,123.97,71.4,24,0,8.35,2020-10-26 00:59:04
567,Ouanaminthe,HT,19.56,-71.75,80.6,70,100,1.55,2020-10-26 00:59:05
568,Gamba,GA,-3.4,9.24,77.2,86,100,6.33,2020-10-26 00:59:05
569,Quilpie,AU,-26.24,143.37,70.4,24,0,3.41,2020-10-26 00:59:06
570,Ankang,CN,32.44,108.87,63.0,32,48,3.58,2020-10-26 00:59:06
571,Nizhnesortymskiy,RU,62.42,71.01,22.9,98,97,5.75,2020-10-26 00:59:06
572,Nadym,RU,65.15,72.84,16.9,97,100,6.8,2020-10-26 00:59:07
573,Simod,PH,7.44,125.42,82.4,83,75,1.0,2020-10-26 00:59:07
574,Räpina,EE,58.11,27.47,45.0,93,0,3.6,2020-10-26 00:59:08
575,Aral,CN,40.77,81.55,47.4,46,100,3.16,2020-10-26 00:59:08
576,Beishanyanchi,CN,45.53,90.03,29.2,79,0,0.39,2020-10-26 00:59:09
577,Southern Red Sea Region,ER,13.5,41.34,82.3,26,0,1.51,2020-10-26 00:59:09
578,Cherskiy,RU,69.96,160.31,17.1,96,0,3.94,2020-10-26 00:59:09
579,Kamativi Mine,ZW,-18.18,26.95,73.7,28,0,2.08,2020-10-26 00:59:10
580,Mhango,TZ,-3.44,32.51,71.5,68,100,1.79,2020-10-26 00:59:10
581,Bogashevo,RU,56.38,85.7,30.6,92,75,3.0,2020-10-26 00:59:10
582,Craig,US,55.06,-134.55,50.8,95,100,13.97,2020-10-26 00:59:11
583,Turaif,SA,31.71,38.74,64.4,23,20,3.6,2020-10-26 00:59:11
584,Renews-Cappahayden,CA,46.09,-52.54,51.0,69,60,13.15,2020-10-26 00:59:12
585,Longcang,CN,34.75,99.62,31.5,97,100,2.22,2020-10-26 00:59:12
586,Qal‘ah-ye Fārsī,AF,33.74,63.01,32.1,81,0,1.46,2020-10-26 00:59:13
587,Formosa Province,AR,-24.4,-59.34,89.3,43,0,4.73,2020-10-26 00:59:13
588,Jeff Davis,US,30.66,-104.17,68.4,15,1,4.1,2020-10-26 00:59:14
589,Río Negro Province,AR,-39.77,-66.79,64.7,26,0,5.68,2020-10-26 00:59:14
590,Moḩammadābād,IR,35.97,60.37,45.2,56,0,2.04,2020-10-26 00:59:14
591,Sodankylä,FI,67.39,26.02,32.0,98,90,6.2,2020-10-26 00:59:15
592,Boca do Acre,BR,-8.98,-67.42,75.7,89,100,1.95,2020-10-26 00:59:15
593,Dzüünkharaa,MN,48.96,107.41,16.7,88,91,1.89,2020-10-26 00:59:15
594,Dul'durga,RU,50.4,114.19,28.6,87,100,10.07,2020-10-26 00:59:15
595,Chañaral,CL,-29.33,-72.54,55.8,79,0,13.11,2020-10-26 00:59:16
596,North Aegean,GR,39.6,25.09,59.0,93,20,3.8,2020-10-26 00:59:16
597,Røssvoll,NO,66.56,14.95,37.0,91,100,1.79,2020-10-26 00:59:16
598,Carira,BR,-10.29,-37.61,73.0,84,92,5.91,2020-10-26 00:59:17
599,Myrtle Beach,US,33.3,-78.42,68.3,94,90,3.6,2020-10-26 00:59:17
600,Manati,AO,-17.99,18.73,73.8,26,98,2.83,2020-10-26 00:59:18
601,Alcuéscar,ES,39.13,-6.26,50.4,91,100,1.34,2020-10-26 00:59:19
602,Saquena,PE,-4.92,-72.92,78.9,77,7,0.89,2020-10-26 00:59:19
603,Adak,US,51.33,-177.07,44.6,75,90,1.36,2020-10-26 00:59:19
604,French Polynesia,PF,-16.0,-139.81,78.6,79,100,5.95,2020-10-26 00:59:20
605,Ilo,PE,-17.81,-71.73,64.2,74,11,3.48,2020-10-26 00:59:20
606,Mejillones,CL,-22.56,-70.87,59.6,84,42,6.34,2020-10-26 00:59:20
607,Khuzhir,RU,52.97,106.5,12.3,95,62,6.16,2020-10-26 00:59:20
608,Yellowknife,CA,62.67,-115.11,27.3,79,75,2.1,2020-10-26 00:59:21
609,Abou el Hassan,DZ,36.9,0.57,69.2,72,67,14.29,2020-10-26 00:59:21
610,Tucano,BR,-10.98,-38.95,73.0,85,91,4.04,2020-10-26 00:59:21
